Label,z_mean,z_std,z_aad,z_min,z_max,z_maxmin_diff,z_median,z_mad,z_IQR,z_neg_count,z_pos_count,z_above_mean,z_peak_count,z_skewness,z_kurtosis,z_energy,avg_result_accl,sma,z_mean_fft,z_std_fft,z_aad_fft,z_min_fft,z_max_fft,z_maxmin_diff_fft,z_median_fft,z_mad_fft,z_IQR_fft,z_above_mean_fft,z_peak_count_fft,z_skewness_fft,z_kurtosis_fft,z_energy_fft,avg_result_accl_fft
0,11.0,0.0,0.0,11,11,0,11.0,0.0,0.0,0,50,0,0,,,60.5,32.90501414018564,21.37,1.989729100161989e-15,4.142840972728115e-15,3.004897008407902e-15,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,12,12,2.0867837603258366,3.0145606376448075,2.0699710152999349e-29,2.6846101934757485
0,11.06,0.4651881339845203,0.15520000000000045,10,14,4,11.0,0.0,0.0,0,50,2,1,4.975150067815622,29.78127722674172,61.269999999999996,32.860261805458535,21.450000000000003,3.1893983947830677,0.9319625560535089,0.7449508605771016,0.9999999999999994,4.1627135589267255,3.162713558926726,3.378071723553905,0.6005126549639912,1.1858507339712694,30,2,-0.998286305706235,-0.12333020846626574,10.81999999999999,10.766588049923522
1,11.06,0.4651881339845203,0.15520000000000045,10,14,4,11.0,0.0,0.0,0,50,2,1,4.97515006781562,29.781277226741736,61.269999999999996,32.86280168718787,21.450000000000003,3.1893983947830677,0.9319625560535089,0.7449508605771016,0.9999999999999994,4.1627135589267255,3.162713558926726,3.378071723553905,0.6005126549639912,1.1858507339712694,30,2,-0.998286305706235,-0.12333020846626574,10.81999999999999,11.026001407502335
1,10.94,0.5800000000000001,0.1576000000000005,7,12,5,11.0,0.0,0.0,0,50,49,0,-6.1463774652507235,39.8127674856245,60.01,32.56617278020949,21.32,4.084436787154089,0.6932830863830737,0.6195512481221132,3.0,4.993687776635201,1.993687776635201,4.0617331083868065,0.7198397856386447,1.359105711285936,24,22,-0.16163249278217165,-1.451202518994248,16.820000000000007,22.30553987910295
1,11.02,0.7345747068882782,0.19759999999999964,7,14,7,11.0,0.0,0.0,0,50,3,1,-1.8476977775649102,20.482291195575787,60.99,32.595794897671915,21.39,4.2832139205833295,3.0306254726407778,2.7722306932823164,0.07165358995799576,8.984229402628955,8.912575812670958,5.0,2.8515585831301458,5.499656331769924,25,23,0.1268450317936777,-1.4629906001571995,26.98,22.69177308787548
0,11.08,0.4399999999999999,0.15360000000000007,11,14,3,11.0,0.0,0.0,0,50,2,0,6.022539444027051,36.17608086879317,61.480000000000004,32.936567420931425,21.400000000000002,3.0652335207959998,0.6941862022517592,0.6219804302932128,2.0,3.9940816476240024,1.9940816476240024,3.102137470007434,0.6891435489264639,1.3461784257891964,26,0,-0.15127156077937742,-1.4520253181725447,9.679999999999998,5.787489012357628
0,11.12,0.5153639490690051,0.2255999999999993,11,14,3,11.0,0.0,0.0,0,50,3,2,4.5488966654198295,20.219335172013377,61.96,33.126671001783414,21.61,3.4895675307951612,1.1721513793804217,0.9837603264050279,2.0,5.9528128919107255,3.9528128919107255,2.9549705507292,0.422968897480938,1.2893983652749381,16,2,0.8976231236186959,-0.5057708208393574,13.279999999999998,14.533592260787561
0,11.12,0.5153639490690051,0.2255999999999993,11,14,3,11.0,0.0,0.0,0,50,3,1,4.5488966654198295,20.21933517201338,61.96,33.16469499601017,21.620000000000005,3.4895675307951612,1.1721513793804217,0.9837603264050279,2.0,5.9528128919107255,3.9528128919107255,2.9549705507292,0.422968897480938,1.2893983652749381,16,2,0.8976231236186959,-0.5057708208393574,13.279999999999998,14.657316166855132
0,11.02,0.13999999999999999,0.03919999999999959,11,12,1,11.0,0.0,0.0,0,50,1,1,6.857142857142868,45.020408163265415,60.730000000000004,32.8346583877367,21.340000000000003,0.9999999999999997,4.628309216899876e-15,2.5172607762419365e-15,0.9999999999999866,1.0000000000000142,2.7644553313166398e-14,0.9999999999999999,1.1102230246251565e-16,3.1086244689504383e-15,33,15,0.5581713029083103,4.138193555387372,0.9799999999999991,10.26770891323385
0,11.02,0.42379240200834184,0.1183999999999996,9,13,4,11.0,0.0,0.0,0,50,2,2,0.12108294282112303,17.424983010996968,60.81,32.808736886961626,21.410000000000004,2.759176703333297,1.2450739841090777,1.0638054306125393,0.5248033368508778,4.868061029728554,4.3432576928776765,2.548805054458226,1.1169782312527836,1.5425630127118612,23,18,-0.09269780255501622,-0.9954161790142928,8.980000000000004,12.500782527809498
