Time,X,Y,Z,Tap,Double_Tap
2025-03-02T19:13:39.479008,14,248,103,0,0
2025-03-02T19:13:39.558827,15,248,101,0,0
2025-03-02T19:13:39.567553,15,248,101,0,0
2025-03-02T19:13:39.575253,14,248,103,0,0
2025-03-02T19:13:39.586449,15,247,103,0,0
2025-03-02T19:13:39.595829,14,248,103,0,0
2025-03-02T19:13:39.607353,14,247,102,0,0
2025-03-02T19:13:39.629903,14,249,102,0,0
2025-03-02T19:13:39.650556,15,248,102,0,0
2025-03-02T19:13:39.672247,13,249,104,0,0
2025-03-02T19:13:39.697469,14,248,103,0,0
2025-03-02T19:13:39.717786,16,247,103,0,0
2025-03-02T19:13:39.739432,14,248,103,0,0
2025-03-02T19:13:39.760869,14,248,102,0,0
2025-03-02T19:13:39.782215,15,247,102,0,0
2025-03-02T19:13:39.805613,14,248,102,0,0
2025-03-02T19:13:39.827515,14,248,103,0,0
2025-03-02T19:13:39.849521,15,248,103,0,0
2025-03-02T19:13:39.871779,14,248,101,0,0
2025-03-02T19:13:39.892104,15,248,102,0,0
2025-03-02T19:13:39.915768,14,248,101,0,0
2025-03-02T19:13:39.936250,15,248,101,0,0
2025-03-02T19:13:39.958000,14,248,103,0,0
2025-03-02T19:13:39.980737,15,248,103,0,0
2025-03-02T19:13:40.004427,15,248,102,0,0
2025-03-02T19:13:40.025457,15,249,103,0,0
2025-03-02T19:13:40.046838,15,248,103,0,0
2025-03-02T19:13:40.071966,15,249,102,0,0
2025-03-02T19:13:40.090450,15,248,103,0,0
2025-03-02T19:13:40.113992,14,248,102,0,0
2025-03-02T19:13:40.135829,14,248,103,0,0
2025-03-02T19:13:40.157481,15,247,103,0,0
2025-03-02T19:13:40.178366,15,248,104,0,0
2025-03-02T19:13:40.201659,15,248,102,0,0
2025-03-02T19:13:40.221968,15,249,102,0,0
2025-03-02T19:13:40.245097,14,249,102,0,0
2025-03-02T19:13:40.267868,15,247,103,0,0
2025-03-02T19:13:40.288030,14,248,101,0,0
2025-03-02T19:13:40.311827,15,248,101,0,0
2025-03-02T19:13:40.333955,15,248,103,0,0
2025-03-02T19:13:40.355669,14,249,103,0,0
2025-03-02T19:13:40.376407,14,247,103,0,0
2025-03-02T19:13:40.400356,14,248,103,0,0
2025-03-02T19:13:40.419875,15,248,102,0,0
2025-03-02T19:13:40.443467,14,248,103,0,0
2025-03-02T19:13:40.465965,14,248,103,0,0
2025-03-02T19:13:40.486502,15,248,102,0,0
2025-03-02T19:13:40.509516,14,249,103,0,0
2025-03-02T19:13:40.532026,14,248,102,0,0
2025-03-02T19:13:40.553485,14,248,102,0,0
2025-03-02T19:13:40.575372,14,248,102,0,0
2025-03-02T19:13:40.597568,14,249,100,0,0
2025-03-02T19:13:40.619748,14,248,104,0,0
2025-03-02T19:13:40.641600,15,248,102,0,0
2025-03-02T19:13:40.663565,13,249,103,0,0
2025-03-02T19:13:40.685204,14,248,102,0,0
2025-03-02T19:13:40.707524,15,247,103,0,0
2025-03-02T19:13:40.729342,14,247,102,0,0
2025-03-02T19:13:40.751519,15,248,101,0,0
2025-03-02T19:13:40.773548,13,248,103,0,0
2025-03-02T19:13:40.795491,14,248,103,0,0
2025-03-02T19:13:40.817567,16,247,102,0,0
2025-03-02T19:13:40.838670,14,249,102,0,0
2025-03-02T19:13:40.859944,15,247,102,0,0
2025-03-02T19:13:40.884188,15,248,101,0,0
2025-03-02T19:13:40.905884,15,248,104,0,0
2025-03-02T19:13:40.926452,14,248,104,0,0
2025-03-02T19:13:40.947810,14,248,103,0,0
2025-03-02T19:13:40.969591,15,247,100,0,0
2025-03-02T19:13:40.992057,14,248,102,0,0
2025-03-02T19:13:41.015723,14,247,104,0,0
2025-03-02T19:13:41.037499,15,248,102,0,0
2025-03-02T19:13:41.058148,15,248,103,0,0
2025-03-02T19:13:41.080077,15,248,103,0,0
2025-03-02T19:13:41.102003,14,248,101,0,0
2025-03-02T19:13:41.124351,15,247,103,0,0
2025-03-02T19:13:41.146298,14,248,103,0,0
2025-03-02T19:13:41.169126,14,248,102,0,0
2025-03-02T19:13:41.189934,14,248,102,0,0
2025-03-02T19:13:41.213600,15,248,103,0,0
2025-03-02T19:13:41.234389,15,248,101,0,0
2025-03-02T19:13:41.255674,14,248,103,0,0
2025-03-02T19:13:41.278259,14,248,102,0,0
2025-03-02T19:13:41.300392,15,249,103,0,0
2025-03-02T19:13:41.323801,15,248,104,0,0
2025-03-02T19:13:41.344515,15,248,103,0,0
2025-03-02T19:13:41.370954,15,247,102,0,0
2025-03-02T19:13:41.389128,15,247,103,0,0
2025-03-02T19:13:41.541070,14,247,103,0,0
2025-03-02T19:13:41.548979,15,248,102,0,0
2025-03-02T19:13:41.563813,14,249,102,0,0
2025-03-02T19:13:41.571450,13,248,101,0,0
2025-03-02T19:13:41.581294,14,249,103,0,0
2025-03-02T19:13:41.589894,14,248,105,0,0
2025-03-02T19:13:41.597542,14,248,101,0,0
2025-03-02T19:13:41.605994,135,294,114,0,0
2025-03-02T19:13:41.615546,-2,288,141,0,0
2025-03-02T19:13:41.625574,-20,236,107,0,0
2025-03-02T19:13:41.634893,19,257,95,0,0
2025-03-02T19:13:41.647167,45,238,99,0,0
2025-03-02T19:13:41.670216,9,257,105,0,0
2025-03-02T19:13:41.691244,4,241,103,0,0
2025-03-02T19:13:41.713916,15,245,101,0,0
2025-03-02T19:13:41.736469,23,248,102,0,0
2025-03-02T19:13:41.758043,13,250,106,0,0
2025-03-02T19:13:41.779809,10,249,104,0,0
2025-03-02T19:13:41.802723,14,247,103,0,0
2025-03-02T19:13:41.824102,19,247,104,0,0
2025-03-02T19:13:41.848073,12,247,102,0,0
2025-03-02T19:13:41.869105,13,248,103,0,0
2025-03-02T19:13:41.889587,16,248,103,0,0
2025-03-02T19:13:41.912021,14,247,103,0,0
2025-03-02T19:13:41.933879,13,248,105,0,0
2025-03-02T19:13:41.955482,15,248,103,0,0
2025-03-02T19:13:41.977146,15,248,105,0,0
2025-03-02T19:13:42.000522,14,247,103,0,0
2025-03-02T19:13:42.022494,15,248,103,0,0
2025-03-02T19:13:42.044426,13,249,102,0,0
2025-03-02T19:13:42.065557,13,248,104,0,0
2025-03-02T19:13:42.087719,15,248,104,0,0
2025-03-02T19:13:42.110754,13,248,104,0,0
2025-03-02T19:13:42.132730,14,248,104,0,0
2025-03-02T19:13:42.156297,14,248,104,0,0
2025-03-02T19:13:42.175740,14,248,102,0,0
2025-03-02T19:13:42.196507,15,248,103,0,0
2025-03-02T19:13:42.220530,14,249,102,0,0
2025-03-02T19:13:42.242573,15,247,104,0,0
2025-03-02T19:13:42.264810,15,248,102,0,0
2025-03-02T19:13:42.286389,15,247,103,0,0
2025-03-02T19:13:42.307913,16,247,102,0,0
2025-03-02T19:13:42.330250,15,247,104,0,0
2025-03-02T19:13:42.352913,13,247,103,0,0
2025-03-02T19:13:42.373191,15,247,102,0,0
2025-03-02T19:13:42.395178,14,248,103,0,0
2025-03-02T19:13:42.418691,14,249,103,0,0
2025-03-02T19:13:42.440350,14,248,103,0,0
2025-03-02T19:13:42.461955,15,249,104,0,0
2025-03-02T19:13:42.490645,14,248,103,0,0
2025-03-02T19:13:42.506330,14,248,103,0,0
2025-03-02T19:13:42.528336,15,246,104,0,0
2025-03-02T19:13:42.549341,15,247,103,0,0
2025-03-02T19:13:42.572293,15,248,102,0,0
2025-03-02T19:13:42.593158,15,247,103,0,0
2025-03-02T19:13:42.616650,14,248,103,0,0
2025-03-02T19:13:42.638170,14,248,102,0,0
2025-03-02T19:13:42.660225,14,248,103,0,0
2025-03-02T19:13:42.682724,14,249,103,0,0
2025-03-02T19:13:42.704623,14,249,103,0,0
2025-03-02T19:13:42.724899,15,247,103,0,0
2025-03-02T19:13:42.746646,14,247,102,0,0
2025-03-02T19:13:42.776371,14,248,102,0,0
2025-03-02T19:13:42.792508,14,248,102,0,0
2025-03-02T19:13:42.822981,16,247,103,0,0
2025-03-02T19:13:42.835654,14,247,103,0,0
2025-03-02T19:13:42.856547,14,248,104,0,0
2025-03-02T19:13:42.878874,15,248,104,0,0
2025-03-02T19:13:42.901423,14,248,104,0,0
2025-03-02T19:13:42.924101,14,248,103,0,0
2025-03-02T19:13:42.945004,14,248,102,0,0
2025-03-02T19:13:42.968669,14,248,102,0,0
2025-03-02T19:13:42.990342,15,248,104,0,0
2025-03-02T19:13:43.011430,16,246,102,0,0
2025-03-02T19:13:43.034550,15,248,103,0,0
2025-03-02T19:13:43.056280,14,248,103,0,0
2025-03-02T19:13:43.078453,15,247,103,0,0
2025-03-02T19:13:43.100580,15,246,103,0,0
2025-03-02T19:13:43.121677,15,247,103,0,0
