,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
Label,583.0,0.7530017152658662,0.4316360767431213,0.0,1.0,1.0,1.0,1.0,0.1863097027461937,-1.1763272213309102,-0.6183874675289238
x_mean,583.0,2.133759079415896,3.787064752695178,-0.59,0.14,0.59,1.0,16.08,14.341859441106191,1.8888497127120354,2.0149892937748066
y_mean,583.0,68.54537820906991,82.72403442845,29.46,30.7,31.01,31.265,253.96,6843.26587211938,1.7486807392205554,1.0732888028135137
z_mean,583.0,25.34570001850529,31.004014314079484,8.46,10.45,11.03,13.0,97.42,961.2489035876455,1.7497623903846293,1.091013279760363
x_std,583.0,5.2318156734812895,8.376369747425565,0.0,1.1600255280887204,2.3245644753372616,3.468068626771968,40.84529226238931,70.16357014558623,2.3320372166045145,4.549509504301437
y_std,583.0,3.9492907252344858,8.86016249787386,0.0,0.8737789945756108,1.6167560112769024,2.461933367734578,109.1708619550107,78.50247948873036,7.605344451930415,76.81724928678287
z_std,583.0,3.09061361017525,5.039753592250659,0.0,0.658439619736412,1.3106868428423322,2.3135359193317746,36.78732798124919,25.39911627060343,2.869671270802646,9.617424421485191
x_aad,583.0,2.132066201057964,3.5721620871722224,0.0,0.4966310074759701,0.8966,1.2627000000000002,21.4368,12.760341977030608,2.631824258574345,7.048300818455306
y_aad,583.0,1.799393836131818,6.947991881739678,0.0,0.3376000000000009,0.5384000000000013,0.9156000000000003,106.964,48.274591188720464,12.258434506378615,169.90488321327467
z_aad,583.0,1.2655628652285418,2.6977785826152556,0.0,0.2579000000000001,0.5888,0.9315,36.03999999999999,7.278009280817578,7.962081820697248,88.54260694422503
x_min,583.0,-23.893653516295025,43.677854732314856,-250.0,-17.0,-8.0,-4.0,9.0,1907.7549940171994,-2.942701197480715,9.284162586269256
y_min,583.0,49.80960548885077,60.458697187845964,-13.0,22.0,26.0,30.0,252.0,3655.254065651653,1.9889763663229747,2.4906647240260775
z_min,583.0,10.049742710120068,22.907687055273563,-66.0,1.0,6.0,12.0,93.0,524.762126222348,1.3821155710614998,4.656980701064054
x_max,583.0,29.176672384219554,45.67314028558933,0.0,4.0,12.0,26.0,213.0,2086.0357435471224,2.2935519201063537,4.284559787897942
y_max,583.0,84.63121783876501,101.14797869566544,31.0,33.0,40.0,46.0,347.0,10230.91359421879,1.762911778932366,1.2396410196531256
z_max,583.0,39.943396226415096,51.653536721116964,11.0,14.0,17.0,25.0,221.0,2668.087855799779,2.0691620762500236,3.0521517243303395
x_maxmin_diff,583.0,53.07032590051458,84.6149771523025,0.0,11.0,23.0,38.0,409.0,7159.694358484673,2.327581840932101,4.539916844064182
